Lateral(mm),Vertical(mm),Raw(µm)
3.563665152,10,-316.2235869
3.573509455,10,-316.153229
3.583353758,10,-315.8837468
3.593198061,10,-315.8105489
3.603042603,10,-315.4355298
3.612886906,10,-315.4836229
3.622731209,10,-315.745094
3.63257575,10,-315.5748792
3.642420053,10,-315.1256977
3.652264357,10,-314.8392021
3.662108898,10,-314.6648344
3.671953201,10,-314.7837409
3.681797504,10,NaN
3.691642046,10,-315.1561879
3.701486349,10,NaN
3.711330652,10,-314.6089446
3.721175194,10,-314.8422029
3.731019497,10,-314.8213045
3.7408638,10,-314.8105874
3.750708342,10,-314.6479282
3.760552645,10,-314.6107397
3.770396948,10,NaN
3.780241489,10,-313.2970879
3.790085793,10,-313.7808322
3.799930096,10,-313.8510294
3.809774399,10,-313.6628367
3.81961894,10,NaN
3.829463243,10,NaN
3.839307547,10,NaN
3.849152088,10,NaN
3.858996391,10,NaN
3.868840694,10,NaN
3.878685236,10,-313.0719211
3.888529539,10,NaN
3.898373842,10,NaN
3.908218384,10,-312.5773793
3.918062687,10,-312.3431297
3.92790699,10,NaN
3.937751532,10,NaN
3.947595835,10,NaN
3.957440138,10,NaN
3.967284679,10,NaN
3.977128983,10,NaN
3.986973286,10,NaN
3.996817589,10,-311.131371
4.006661892,10,-311.1724979
4.016506672,10,-311.2673177
4.026350975,10,-311.1097759
4.036195278,10,-310.763318
4.046039581,10,-310.5712939
4.055883884,10,-310.3121538
4.065728188,10,-309.7458072
4.075572491,10,NaN
4.085417271,10,-309.5249005
4.095261574,10,-309.7247481
4.105105877,10,-309.7537647
4.11495018,10,-309.8935428
4.124794483,10,-310.0293556
4.134638786,10,NaN
4.144483566,10,-310.2809402
4.154327869,10,-309.453578
4.164172173,10,-309.1700296
4.174016476,10,NaN
4.183860779,10,NaN
4.193705082,10,NaN
4.203549862,10,-308.9033071
4.213394165,10,-308.820035
4.223238468,10,-308.7128102
4.233082771,10,-308.339747
4.242927074,10,-307.911437
4.252771378,10,-307.91985
4.262616158,10,-307.6481708
4.272460461,10,-307.18854
4.282304764,10,-307.3458942
4.292149067,10,-307.5097859
4.30199337,10,-307.706204
4.311837673,10,-307.9888683
4.321681976,10,-308.2003976
4.331526756,10,-308.399227
4.341371059,10,NaN
4.351215363,10,NaN
4.361059666,10,-307.8168048
4.370903969,10,NaN
4.380748272,10,NaN
4.390593052,10,NaN
4.400437355,10,NaN
4.410281658,10,NaN
4.420125961,10,NaN
4.429970264,10,NaN
4.439814568,10,NaN
4.449659348,10,NaN
4.459503651,10,NaN
4.469347954,10,NaN
4.479192257,10,NaN
4.48903656,10,NaN
4.498880863,10,NaN
4.508725166,10,NaN
4.518569946,10,NaN
4.528414249,10,NaN
4.538258553,10,NaN
4.548102856,10,NaN
4.557947159,10,NaN
4.567791462,10,NaN
4.577636242,10,NaN
4.587480545,10,NaN
4.597324848,10,NaN
4.607169151,10,NaN
4.617013454,10,NaN
4.626857758,10,NaN
4.636702538,10,NaN
4.646546841,10,NaN
4.656391144,10,NaN
4.666235447,10,NaN
4.67607975,10,NaN
4.685924053,10,NaN
4.695768356,10,NaN
4.705613136,10,NaN
4.715457439,10,NaN
4.725301743,10,NaN
4.735146046,10,NaN
4.744990349,10,NaN
4.754834652,10,NaN
4.764679432,10,NaN
4.774523735,10,-302.9105846
4.784368038,10,-302.8604016
4.794212341,10,-302.9274908
4.804056644,10,-303.1359389
4.813900948,10,-303.333536
4.823745728,10,-303.5499415
4.833590031,10,NaN
4.843434334,10,NaN
4.853278637,10,-302.5526593
4.86312294,10,NaN
4.872967243,10,-302.0595643
4.882811546,10,-301.916196
4.892656326,10,-301.9014331
4.902500629,10,-301.2103928
4.912344933,10,-301.9142937
4.922189236,10,-301.9566263
4.932033539,10,-301.1633446
4.941877842,10,-301.0905485
4.951722622,10,-301.1680601
4.961566925,10,-301.337873
4.971411228,10,-300.6334631
4.981255531,10,-300.3761716
4.991099834,10,-300.4602475
5.000944138,10,-300.8749199
5.010788918,10,-301.3776335
5.020633221,10,-300.8646047
5.030477524,10,-300.5721075
5.040321827,10,-300.3722599
5.05016613,10,-300.3394655
5.060010433,10,-300.4483515
5.069854736,10,-300.5809223
5.079699516,10,-300.2036795
5.089543819,10,-300.1451104
5.099388123,10,-299.9485583
5.109232426,10,-299.9118253
5.119076729,10,-300.2602659
5.128921032,10,-299.5331892
5.138765812,10,NaN
5.148610115,10,-299.1774878
5.158454418,10,-299.4213828
5.168298721,10,-299.4855784
5.178143024,10,-298.9154808
5.187987328,10,-298.7766941
5.197832108,10,-298.7021296
5.207676411,10,-298.1576728
5.217520714,10,-298.4997635
5.227365017,10,-298.5348085
5.23720932,10,-298.9642438
5.247053623,10,-298.916231
5.256897926,10,-299.0439256
5.266742706,10,-298.5437037
5.276587009,10,NaN
5.286431313,10,NaN
5.296275616,10,NaN
5.306119919,10,-296.874672
5.315964222,10,-297.1548713
5.325809002,10,-297.1600423
5.335653305,10,-296.9825935
5.345497608,10,-297.1074212
5.355341911,10,-297.2765107
5.365186214,10,-297.1581936
5.375030518,10,-297.1270067
5.384875298,10,-296.955372
5.394719601,10,-296.9216934
5.404563904,10,-296.941011
5.414408207,10,NaN
5.42425251,10,-296.308379
5.434096813,10,-296.5112006
5.443941116,10,-296.6235697
5.453785896,10,-296.6441466
5.463630199,10,-296.6773161
5.473474503,10,-296.2054946
5.483318806,10,-295.9453363
5.493163109,10,-296.1631352
5.503007412,10,-296.3039314
5.512852192,10,-296.4854795
5.522696495,10,NaN
5.532540798,10,NaN
5.542385101,10,NaN
5.552229404,10,NaN
5.562073708,10,NaN
5.571918488,10,-294.4113672
5.581762791,10,NaN
5.591607094,10,NaN
5.601451397,10,-294.4990869
5.6112957,10,NaN
5.621140003,10,-293.8612839
5.630984306,10,-294.1696156
5.640829086,10,-294.3396964
5.650673389,10,-294.2308104
5.660517693,10,-294.320352
5.670361996,10,NaN
5.680206299,10,-293.9031611
5.690050602,10,-294.027185
5.699895382,10,-294.1332846
5.709739685,10,-293.8165935
5.719583988,10,NaN
5.729428291,10,-293.0289918
5.739272594,10,NaN
5.749116898,10,-293.0871322
5.758961678,10,-293.1392711
5.768805981,10,-292.8847929
5.778650284,10,-293.0385569
5.788494587,10,-292.7088712
5.79833889,10,NaN
